[2025-04-26 16:42:39] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-horizontal.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-horizontal.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-skew.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-skew.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-bottom-right.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-bottom-right.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-top-right.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-top-right.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.min.css
